order,grid_i,grid_j,X_EPSG5179,Y_EPSG5179,lat,lon
1,0,0,1137450,1726450,35.5244791,129.0159529
2,1,0,1137550,1726450,35.5244652,129.0170555
3,2,0,1137650,1726450,35.5244513,129.0181581
4,3,0,1137750,1726450,35.5244374,129.0192606
5,4,0,1137850,1726450,35.5244235,129.0203632
6,5,0,1137950,1726450,35.5244096,129.0214658
7,6,0,1138050,1726450,35.5243957,129.0225683
8,7,0,1138150,1726450,35.5243818,129.0236709
9,8,0,1138250,1726450,35.5243679,129.0247734
10,9,0,1138350,1726450,35.5243539,129.025876
11,10,0,1138450,1726450,35.5243399,129.0269786
12,11,0,1138550,1726450,35.524326,129.0280811
13,12,0,1138650,1726450,35.524312,129.0291837
14,13,0,1138750,1726450,35.524298,129.0302862
15,14,0,1138850,1726450,35.524284,129.0313888
16,15,0,1138950,1726450,35.52427,129.0324914
17,16,0,1139050,1726450,35.524256,129.0335939
18,17,0,1139150,1726450,35.524242,129.0346965
19,18,0,1139250,1726450,35.5242279,129.035799
20,19,0,1139350,1726450,35.5242139,129.0369016
21,20,0,1139450,1726450,35.5241998,129.0380041
22,21,0,1139550,1726450,35.5241858,129.0391067
23,22,0,1139650,1726450,35.5241717,129.0402092
24,23,0,1139750,1726450,35.5241576,129.0413118
25,24,0,1139850,1726450,35.5241435,129.0424143
26,25,0,1139950,1726450,35.5241294,129.0435169
27,26,0,1140050,1726450,35.5241153,129.0446194
28,27,0,1140150,1726450,35.5241012,129.045722
29,28,0,1140250,1726450,35.524087,129.0468245
30,29,0,1140350,1726450,35.5240729,129.0479271
31,30,0,1140450,1726450,35.5240587,129.0490296
32,31,0,1140550,1726450,35.5240445,129.0501322
33,32,0,1140650,1726450,35.5240304,129.0512347
34,33,0,1140750,1726450,35.5240162,129.0523372
35,34,0,1140850,1726450,35.524002,129.0534398
36,35,0,1140950,1726450,35.5239878,129.0545423
37,36,0,1141050,1726450,35.5239736,129.0556449
38,37,0,1141150,1726450,35.5239593,129.0567474
39,38,0,1141250,1726450,35.5239451,129.0578499
40,39,0,1141350,1726450,35.5239308,129.0589525
41,40,0,1141450,1726450,35.5239166,129.060055
42,41,0,1141550,1726450,35.5239023,129.0611576
43,42,0,1141650,1726450,35.523888,129.0622601
44,43,0,1141750,1726450,35.5238737,129.0633626
45,44,0,1141850,1726450,35.5238595,129.0644652
46,45,0,1141950,1726450,35.5238451,129.0655677
47,46,0,1142050,1726450,35.5238308,129.0666702
48,47,0,1142150,1726450,35.5238165,129.0677728
