corridor_id,receiver_id,Lden_db,SEL_total_db,LAeq_day_db
corridor_0,2623,-13.91259468,28.71242425,-22.41362577
corridor_0,2748,-13.9493264,28.67569253,-22.45035749
corridor_0,2749,-10.85502517,31.76999375,-19.35605626
corridor_0,2750,-9.04726112,33.5777578,-17.54829221
corridor_0,2751,-7.781821133,34.84319779,-16.28285222
corridor_0,2752,-7.719876171,34.90514275,-16.22090726
corridor_0,2753,-7.672768475,34.95225045,-16.17379957
corridor_0,2754,-7.640278698,34.98474023,-16.14130979
corridor_0,2755,-7.638468624,34.9865503,-16.13949971
corridor_0,2756,-7.668978573,34.95604035,-16.17000966
corridor_0,2757,-8.906327129,33.7186918,-17.40735822
corridor_0,2758,-8.981776119,33.64324281,-17.48280721
corridor_0,2759,-13.70890319,28.91611573,-22.20993429
corridor_0,2760,-13.83277786,28.79224107,-22.33380895
corridor_0,2871,-13.7408818,28.88413712,-22.24191289
corridor_0,2872,-8.93344772,33.69157121,-17.43447881
corridor_0,2873,-7.594529034,35.03048989,-16.09556012
corridor_0,2874,-6.556509853,36.06850907,-15.05754094
corridor_0,2875,-6.450398327,36.1746206,-14.95142942
corridor_0,2876,-5.033924938,37.59109399,-13.53495603
corridor_0,2877,-4.978943706,37.64607522,-13.4799748
corridor_0,2878,-4.433766247,38.19125268,-12.93479734
corridor_0,2879,-4.436940075,38.18807885,-12.93797117
corridor_0,2880,-4.975911022,37.6491079,-13.47694211
corridor_0,2881,-5.011036755,37.61398217,-13.51206785
corridor_0,2882,-4.548115612,38.07690331,-13.0491467
corridor_0,2883,-4.622437359,38.00258157,-13.12346845
corridor_0,2884,-5.848126293,36.77689263,-14.34915738
corridor_0,2885,-5.945879818,36.67913911,-14.44691091
corridor_0,2886,-7.740389706,34.88462922,-16.2414208
corridor_0,2887,-9.085577846,33.53944108,-17.58660894
corridor_0,3000,-6.87075317,35.75426575,-15.37178426
corridor_0,3001,-5.291108013,37.33391091,-13.7921391
corridor_0,3002,-4.602330089,38.02268884,-13.10336118
corridor_0,3003,-4.015293957,38.60972497,-12.51632505
corridor_0,3004,-3.49200523,39.13301369,-11.99303632
corridor_0,3005,-3.407605053,39.21741387,-11.90863614
corridor_0,3006,-2.972859264,39.65215966,-11.47389036
corridor_0,3007,-2.887616039,39.73740289,-11.38864713
