corridor_id,receiver_id,order,grid_i,grid_j,X_EPSG5179,Y_EPSG5179,lat,lon,Lden_db,SEL_total_db,LAeq_day_db
corridor_0,2623,2623,62,20,1143650,1728450,35.5416267,129.0846652,-13.91259468,28.71242425,-22.41362577
corridor_0,2748,2748,68,21,1144250,1728550,35.5424409,129.0912995,-13.9493264,28.67569253,-22.45035749
corridor_0,2749,2749,67,21,1144150,1728550,35.5424554,129.0901968,-10.85502517,31.76999375,-19.35605626
corridor_0,2750,2750,66,21,1144050,1728550,35.54247,129.089094,-9.04726112,33.5777578,-17.54829221
corridor_0,2751,2751,65,21,1143950,1728550,35.5424845,129.0879912,-7.781821133,34.84319779,-16.28285222
corridor_0,2752,2752,64,21,1143850,1728550,35.542499,129.0868884,-7.719876171,34.90514275,-16.22090726
corridor_0,2753,2753,63,21,1143750,1728550,35.5425136,129.0857857,-7.672768475,34.95225045,-16.17379957
corridor_0,2754,2754,62,21,1143650,1728550,35.542528,129.0846829,-7.640278698,34.98474023,-16.14130979
corridor_0,2755,2755,61,21,1143550,1728550,35.5425425,129.0835801,-7.638468624,34.9865503,-16.13949971
corridor_0,2756,2756,60,21,1143450,1728550,35.542557,129.0824773,-7.668978573,34.95604035,-16.17000966
corridor_0,2757,2757,59,21,1143350,1728550,35.5425715,129.0813746,-8.906327129,33.7186918,-17.40735822
corridor_0,2758,2758,58,21,1143250,1728550,35.5425859,129.0802718,-8.981776119,33.64324281,-17.48280721
corridor_0,2759,2759,57,21,1143150,1728550,35.5426004,129.079169,-13.70890319,28.91611573,-22.20993429
corridor_0,2760,2760,56,21,1143050,1728550,35.5426148,129.0780662,-13.83277786,28.79224107,-22.33380895
corridor_0,2871,2871,54,22,1142850,1728650,35.543545,129.0758783,-13.7408818,28.88413712,-22.24191289
corridor_0,2872,2872,55,22,1142950,1728650,35.5435306,129.0769811,-8.93344772,33.69157121,-17.43447881
corridor_0,2873,2873,56,22,1143050,1728650,35.5435162,129.0780839,-7.594529034,35.03048989,-16.09556012
corridor_0,2874,2874,57,22,1143150,1728650,35.5435017,129.0791867,-6.556509853,36.06850907,-15.05754094
corridor_0,2875,2875,58,22,1143250,1728650,35.5434873,129.0802895,-6.450398327,36.1746206,-14.95142942
corridor_0,2876,2876,59,22,1143350,1728650,35.5434728,129.0813923,-5.033924938,37.59109399,-13.53495603
corridor_0,2877,2877,60,22,1143450,1728650,35.5434583,129.082495,-4.978943706,37.64607522,-13.4799748
corridor_0,2878,2878,61,22,1143550,1728650,35.5434439,129.0835978,-4.433766247,38.19125268,-12.93479734
corridor_0,2879,2879,62,22,1143650,1728650,35.5434294,129.0847006,-4.436940075,38.18807885,-12.93797117
corridor_0,2880,2880,63,22,1143750,1728650,35.5434149,129.0858034,-4.975911022,37.6491079,-13.47694211
corridor_0,2881,2881,64,22,1143850,1728650,35.5434004,129.0869062,-5.011036755,37.61398217,-13.51206785
corridor_0,2882,2882,65,22,1143950,1728650,35.5433858,129.088009,-4.548115612,38.07690331,-13.0491467
corridor_0,2883,2883,66,22,1144050,1728650,35.5433713,129.0891118,-4.622437359,38.00258157,-13.12346845
corridor_0,2884,2884,67,22,1144150,1728650,35.5433568,129.0902146,-5.848126293,36.77689263,-14.34915738
corridor_0,2885,2885,68,22,1144250,1728650,35.5433422,129.0913174,-5.945879818,36.67913911,-14.44691091
corridor_0,2886,2886,69,22,1144350,1728650,35.5433277,129.0924201,-7.740389706,34.88462922,-16.2414208
corridor_0,2887,2887,70,22,1144450,1728650,35.5433131,129.0935229,-9.085577846,33.53944108,-17.58660894
corridor_0,3000,3000,72,23,1144650,1728750,35.5441852,129.0957464,-6.87075317,35.75426575,-15.37178426
corridor_0,3001,3001,71,23,1144550,1728750,35.5441998,129.0946436,-5.291108013,37.33391091,-13.7921391
corridor_0,3002,3002,70,23,1144450,1728750,35.5442144,129.0935408,-4.602330089,38.02268884,-13.10336118
corridor_0,3003,3003,69,23,1144350,1728750,35.544229,129.092438,-4.015293957,38.60972497,-12.51632505
corridor_0,3004,3004,68,23,1144250,1728750,35.5442435,129.0913352,-3.49200523,39.13301369,-11.99303632
corridor_0,3005,3005,67,23,1144150,1728750,35.5442581,129.0902324,-3.407605053,39.21741387,-11.90863614
corridor_0,3006,3006,66,23,1144050,1728750,35.5442726,129.0891296,-2.972859264,39.65215966,-11.47389036
corridor_0,3007,3007,65,23,1143950,1728750,35.5442872,129.0880268,-2.887616039,39.73740289,-11.38864713
corridor_0,3008,3008,64,23,1143850,1728750,35.5443017,129.086924,-3.185311199,39.43970773,-11.68634229
corridor_0,3009,3009,63,23,1143750,1728750,35.5443162,129.0858212,-2.801335216,39.82368371,-11.30236631
corridor_0,3010,3010,62,23,1143650,1728750,35.5443307,129.0847184,-2.788170696,39.83684823,-11.28920179
corridor_0,3011,3011,61,23,1143550,1728750,35.5443452,129.0836156,-3.14018333,39.48483559,-11.64121442
corridor_0,3012,3012,60,23,1143450,1728750,35.5443597,129.0825128,-3.168904186,39.45611474,-11.66993528
corridor_0,3013,3013,59,23,1143350,1728750,35.5443741,129.08141,-3.630448223,38.9945707,-12.13147931
corridor_0,3014,3014,58,23,1143250,1728750,35.5443886,129.0803071,-3.715298534,38.90972039,-12.21632963
corridor_0,3015,3015,57,23,1143150,1728750,35.544403,129.0792043,-4.265419842,38.35959908,-12.76645093
corridor_0,3016,3016,56,23,1143050,1728750,35.5444175,129.0781015,-4.395974041,38.22904488,-12.89700513
corridor_0,3017,3017,55,23,1142950,1728750,35.5444319,129.0769987,-5.672745586,36.95227334,-14.17377668
corridor_0,3018,3018,54,23,1142850,1728750,35.5444463,129.0758959,-6.587162853,36.03785607,-15.08819394
corridor_0,3019,3019,53,23,1142750,1728750,35.5444607,129.0747931,-7.682291866,34.94272706,-16.18332296
corridor_0,3020,3020,52,23,1142650,1728750,35.5444751,129.0736903,-10.78593528,31.83908364,-19.28696637
corridor_0,3123,3123,50,24,1142450,1728850,35.5454052,129.0715023,-13.85809982,28.76691911,-22.35913091
corridor_0,3124,3124,51,24,1142550,1728850,35.5453909,129.0726051,-8.937556148,33.68746278,-17.43858724
corridor_0,3125,3125,52,24,1142650,1728850,35.5453765,129.0737079,-6.574118496,36.05090043,-15.07514959
corridor_0,3126,3126,53,24,1142750,1728850,35.5453621,129.0748107,-5.009182812,37.61583611,-13.5102139
corridor_0,3127,3127,54,24,1142850,1728850,35.5453476,129.0759136,-3.84022987,38.78478905,-12.34126096
corridor_0,3128,3128,55,24,1142950,1728850,35.5453332,129.0770164,-3.666451336,38.95856759,-12.16748243
corridor_0,3129,3129,56,24,1143050,1728850,35.5453188,129.0781192,-3.114437939,39.51058099,-11.61546903
corridor_0,3130,3130,57,24,1143150,1728850,35.5453044,129.079222,-2.311028362,40.31399056,-10.81205945
corridor_0,3131,3131,58,24,1143250,1728850,35.5452899,129.0803248,-2.200562359,40.42445657,-10.70159345
