SolutionType,SegmentID,WaypointID,Latitude,Longitude,Altitude_m,SegmentDistance_m,CumulativeDist_km,LocalGroundRisk,LocalAirRisk,CumulGroundRisk,CumulAirRisk
Balanced,1,1,35.561367,129.079251,500.0,0.00,0.0000,0.000000,1.000000,0.000000,0.000000
Balanced,1,2,35.583811,129.098417,500.0,3033.25,3.0333,0.714343,0.017856,0.714343,0.017856
Balanced,1,3,35.588300,129.102250,500.0,606.62,3.6399,0.680011,0.009127,1.394354,0.026983
Balanced,1,4,35.624958,129.133553,500.0,4953.62,8.5935,0.349398,0.257891,1.743752,0.284874
Balanced,2,5,35.624958,129.133553,500.0,0.00,8.5935,0.349398,0.257891,2.093149,0.542766
Balanced,2,6,35.570725,129.098200,500.0,6813.24,15.4067,0.508701,0.393682,2.601850,0.936448
Balanced,2,7,35.554536,129.087647,500.0,2034.00,17.4407,0.000000,1.000000,2.601850,1.936448
Distance-Optimal,1,1,35.561367,129.079251,500.0,0.00,0.0000,0.000000,1.000000,0.000000,0.000000
Distance-Optimal,1,2,35.586742,129.103538,500.0,3569.56,3.5696,0.687834,0.010433,0.687834,0.010433
Distance-Optimal,1,3,35.613553,129.131669,500.0,3911.88,7.4814,0.623006,0.316694,1.310841,0.327127
Distance-Optimal,1,4,35.624958,129.133553,500.0,1277.30,8.7587,0.349398,0.257891,1.660238,0.585019
Distance-Optimal,2,5,35.624958,129.133553,500.0,0.00,8.7587,0.349398,0.257891,2.009636,0.842910
Distance-Optimal,2,6,35.571640,129.100019,500.0,6647.36,15.4061,0.669225,0.413335,2.678862,1.256245
Distance-Optimal,2,7,35.554536,129.087647,500.0,2202.80,17.6089,0.000000,1.000000,2.678862,2.256245
Ground-Risk-Optimal,1,1,35.561367,129.079251,500.0,0.00,0.0000,0.000000,1.000000,0.000000,0.000000
Ground-Risk-Optimal,1,2,35.580788,129.097144,500.0,2693.89,2.6939,0.698205,0.085265,0.698205,0.085265
Ground-Risk-Optimal,1,3,35.610957,129.112433,500.0,3621.96,6.3158,0.586186,0.278565,1.284391,0.363830
Ground-Risk-Optimal,1,4,35.624958,129.133553,500.0,2459.09,8.7749,0.349398,0.257891,1.633789,0.621721
Ground-Risk-Optimal,2,5,35.624958,129.133553,500.0,0.00,8.7749,0.349398,0.257891,1.983187,0.879613
Ground-Risk-Optimal,2,6,35.616020,129.117951,500.0,1722.29,10.4972,0.711176,0.024421,2.694363,0.904034
Ground-Risk-Optimal,2,7,35.554536,129.087647,500.0,7352.54,17.8498,0.000000,1.000000,2.694363,1.904034
Air-Risk-Optimal,1,1,35.561367,129.079251,500.0,0.00,0.0000,0.000000,1.000000,0.000000,0.000000
Air-Risk-Optimal,1,2,35.588956,129.106738,500.0,3941.65,3.9417,0.695355,0.010021,0.695355,0.010021
Air-Risk-Optimal,1,3,35.607064,129.115654,500.0,2165.08,6.1067,0.682342,0.445644,1.377697,0.455665
Air-Risk-Optimal,1,4,35.624958,129.133553,500.0,2560.03,8.6668,0.349398,0.257891,1.727095,0.713557
Air-Risk-Optimal,2,5,35.624958,129.133553,500.0,0.00,8.6668,0.349398,0.257891,2.076493,0.971448
Air-Risk-Optimal,2,6,35.597015,129.110450,500.0,3737.26,12.4040,0.679767,0.289609,2.756260,1.261057
Air-Risk-Optimal,2,7,35.554536,129.087647,500.0,5144.99,17.5490,0.000000,1.000000,2.756260,2.261057
