order,lat,lon,alt_m
1,35.5942067459436,129.09069214663654,350.0
2,35.608530841496176,129.10979484373587,350.0
3,35.61905655412033,129.11340313096574,350.0
4,35.61991925603065,129.12528925360533,350.0
5,35.59696821685807,129.12953429740514,350.0
6,35.57349267760694,129.11361538315575,350.0
7,35.57953483435818,129.107035565266,350.0
8,35.59903925752186,129.11616240943565,350.0
9,35.600419921524576,129.11000709592588,350.0
10,35.58488607827358,129.09621070357636,350.0
11,35.5724568335434,129.10109250394615,350.0
12,35.57418323287493,129.08262656341682,350.0
13,35.59386155538064,129.07519773676708,350.0
14,35.60784058244348,129.06691990135738,350.0
15,35.62026433418899,129.06564638821743,350.0
16,35.61819384290366,129.07498548457707,350.0
17,35.612672270749066,129.07328746705716,350.0
