order,lat,lon,alt_m
1,35.596450448318556,129.09047989444656,600.0
2,35.6116369335356,129.1000312429962,600.0
3,35.62285237291303,129.12125646199547,600.0
4,35.596450448318556,129.12932204521516,600.0
5,35.57435587076179,129.11255412220575,600.0
6,35.56434225834015,129.07307521486717,600.0
7,35.588165696184085,129.0713771973472,600.0
8,35.60956621890901,129.05715630061772,600.0
9,35.61595075018731,129.03847810789838,600.0
10,35.62958088158831,129.0552460309078,600.0
11,35.620954486038535,129.07689575428702,600.0
