order,lat,lon,alt_m
1,35.61750366722981,129.11679916600562,600.0
2,35.60784058244348,129.12719952331526,600.0
3,35.57021245879142,129.10427628679605,600.0
4,35.568695945301,129.08403579304365,600.0
5,35.59776941821676,129.11221219518288,600.0
6,35.59877176348954,129.10006112176035,600.0
7,35.57614434296351,129.08051374277628,600.0
8,35.58946378877354,129.06748215678687,600.0
9,35.61495074296686,129.0454693426156,600.0
10,35.633702809767776,129.05445057079746,600.0
11,35.6213927885025,129.06871487438048,600.0
