order,lat,lon,alt_m
1,35.590064360943806,129.06288710974752,450.0
2,35.606632614771414,129.0684056666873,450.0
3,35.614742904975444,129.06373611850748,450.0
4,35.61491545540813,129.04548243016814,450.0
5,35.62578538220924,129.05291125681788,450.0
6,35.61940163600123,129.07498548457707,450.0
7,35.60628747780102,129.0853858418867,450.0
8,35.60404405120452,129.1087335827859,450.0
9,35.619574176383296,129.11552565286564,450.0
10,35.610429023183876,129.12698727112524,450.0
11,35.58626698639818,129.1204074532355,450.0
12,35.571766263393414,129.10554979993603,450.0
13,35.56468757615371,129.08220205903683,450.0
14,35.577808550366264,129.0754099889571,450.0
15,35.58264205177923,129.09790872109627,450.0
16,35.59334376674512,129.1114928612558,450.0
17,35.59662303820388,129.09790872109627,450.0
