비교순위,이륙섹터,착륙섹터,이륙_MOC차단비율,착륙_MOC차단비율,이륙_바람점수,착륙_바람점수,지상위험도,공중위험도,통합위험도,MOC_문제점수,바람_기준미달점수,조건미달점수,필수조건통과,현재_S7_S5조합,MOC_문제점수_계산식,바람_기준미달점수_계산식,조건미달점수_계산식
1,8,3,0.0,0.0,1.0,0.9238875928601005,0.39307042188116814,0.2952824093573654,0.3441764156192668,0.0,0.0,0.0,True,False,MOC 문제점수 = (이륙 MOC 비율 + 착륙 MOC 비율) / 2,"바람 미달점수 = [max(0.9-이륙점수, 0)/0.9 + max(0.9-착륙점수, 0)/0.9] / 2",조건 미달점수 = 0.5 x MOC 문제점수 + 0.5 x 바람 미달점수
2,9,3,0.0,0.0,0.9096859529361087,0.9238875928601005,0.5083534560821008,0.18924242869319163,0.3487979423876462,0.0,0.0,0.0,True,False,MOC 문제점수 = (이륙 MOC 비율 + 착륙 MOC 비율) / 2,"바람 미달점수 = [max(0.9-이륙점수, 0)/0.9 + max(0.9-착륙점수, 0)/0.9] / 2",조건 미달점수 = 0.5 x MOC 문제점수 + 0.5 x 바람 미달점수
3,8,2,0.0,0.0,1.0,1.0,0.5029197334509709,0.6060399806641737,0.5544798570575723,0.0,0.0,0.0,True,False,MOC 문제점수 = (이륙 MOC 비율 + 착륙 MOC 비율) / 2,"바람 미달점수 = [max(0.9-이륙점수, 0)/0.9 + max(0.9-착륙점수, 0)/0.9] / 2",조건 미달점수 = 0.5 x MOC 문제점수 + 0.5 x 바람 미달점수
4,9,2,0.0,0.0,0.9096859529361087,1.0,0.6182027676519035,0.5,0.5591013838259518,0.0,0.0,0.0,True,False,MOC 문제점수 = (이륙 MOC 비율 + 착륙 MOC 비율) / 2,"바람 미달점수 = [max(0.9-이륙점수, 0)/0.9 + max(0.9-착륙점수, 0)/0.9] / 2",조건 미달점수 = 0.5 x MOC 문제점수 + 0.5 x 바람 미달점수
5,7,3,0.0,0.0,0.8252310109569455,0.9238875928601005,0.32004225777241424,0.4419790302422053,0.3810106440073098,0.0,0.04153832724614139,0.020769163623070696,False,False,MOC 문제점수 = (이륙 MOC 비율 + 착륙 MOC 비율) / 2,"바람 미달점수 = [max(0.9-이륙점수, 0)/0.9 + max(0.9-착륙점수, 0)/0.9] / 2",조건 미달점수 = 0.5 x MOC 문제점수 + 0.5 x 바람 미달점수
6,7,2,0.0,0.0,0.8252310109569455,1.0,0.4298915693422169,0.7527366015490137,0.5913140854456154,0.0,0.04153832724614139,0.020769163623070696,False,False,MOC 문제점수 = (이륙 MOC 비율 + 착륙 MOC 비율) / 2,"바람 미달점수 = [max(0.9-이륙점수, 0)/0.9 + max(0.9-착륙점수, 0)/0.9] / 2",조건 미달점수 = 0.5 x MOC 문제점수 + 0.5 x 바람 미달점수
7,8,1,0.0,0.0,1.0,0.8041815651825086,0.5623480152004132,0.3417605328351439,0.45205427401777853,0.0,0.05323246378749523,0.026616231893747615,False,False,MOC 문제점수 = (이륙 MOC 비율 + 착륙 MOC 비율) / 2,"바람 미달점수 = [max(0.9-이륙점수, 0)/0.9 + max(0.9-착륙점수, 0)/0.9] / 2",조건 미달점수 = 0.5 x MOC 문제점수 + 0.5 x 바람 미달점수
8,9,1,0.0,0.0,0.9096859529361087,0.8041815651825086,0.6776310494013459,0.23572055217097013,0.456675800786158,0.0,0.05323246378749523,0.026616231893747615,False,False,MOC 문제점수 = (이륙 MOC 비율 + 착륙 MOC 비율) / 2,"바람 미달점수 = [max(0.9-이륙점수, 0)/0.9 + max(0.9-착륙점수, 0)/0.9] / 2",조건 미달점수 = 0.5 x MOC 문제점수 + 0.5 x 바람 미달점수
9,7,1,0.0,0.0,0.8252310109569455,0.8041815651825086,0.4893198510916593,0.48845715371998377,0.48888850240582155,0.0,0.09477079103363661,0.04738539551681831,False,False,MOC 문제점수 = (이륙 MOC 비율 + 착륙 MOC 비율) / 2,"바람 미달점수 = [max(0.9-이륙점수, 0)/0.9 + max(0.9-착륙점수, 0)/0.9] / 2",조건 미달점수 = 0.5 x MOC 문제점수 + 0.5 x 바람 미달점수
10,8,4,0.0,0.0,1.0,0.593493332274154,0.2606050755763938,0.11932858645007137,0.18996683101323258,0.0,0.17028148206991445,0.08514074103495722,False,False,MOC 문제점수 = (이륙 MOC 비율 + 착륙 MOC 비율) / 2,"바람 미달점수 = [max(0.9-이륙점수, 0)/0.9 + max(0.9-착륙점수, 0)/0.9] / 2",조건 미달점수 = 0.5 x MOC 문제점수 + 0.5 x 바람 미달점수
