섹터,중심방향_deg,MOC_차단셀수,MOC_전체셀수,MOC_차단비율,MOC_안전점수,MOC_필수조건통과,평균풍속_mps,바람_셀수,바람이향하는방향_deg,바람이불어오는방향_deg,이륙_역풍성분_mps,착륙_역풍성분_mps,이륙_바람점수,착륙_바람점수,지상위험도,공중위험도,위험도_셀수,통합위험도
1,15.0,0,30,0.0,1.0,True,4.951210426090936,30,50.464151409563556,230.46415140956356,0.0,4.032655385948182,0.0,0.8041815651825086,0.9786397021833186,0.47144110434194025,30,0.7250404032626294
2,45.0,0,26,0.0,1.0,True,5.031746407230044,26,49.73026682472454,229.73026682472454,0.0,5.0146080941720825,0.0,1.0,0.8597831386844338,1.0,26,0.929891569342217
3,75.0,0,25,0.0,1.0,True,5.085335494236592,25,50.6492006896961,230.6492006896961,0.0,4.632934201261421,0.0,0.9238875928601005,0.6400845155448285,0.37848485738638327,25,0.5092846864656059
4,105.0,0,26,0.0,1.0,True,5.071563907379832,26,50.93224572561513,230.93224572561513,0.0,2.976136467859134,0.0,0.593493332274154,0.37515382293527966,0.02657721157179519,26,0.20086551725353743
5,135.0,0,26,0.0,1.0,True,4.963779084566103,26,50.706332839699996,230.7063328397,0.0,0.49354722179270594,0.0,0.09842189310193565,0.1460563282175079,0.131746111634157,26,0.13890121992583246
6,165.0,0,31,0.0,1.0,True,4.8296238158386755,31,50.63119600886597,230.63119600886597,1.992743963253997,0.0,0.4297024987800671,0.0,0.03359200802313919,0.6164845694723813,31,0.32503828874776025
7,195.0,0,22,0.0,1.0,True,4.715613765834944,22,50.75131572663105,230.75131572663105,3.8270061729758074,0.0,0.8252310109569455,0.0,0.0,0.5054732030980273,22,0.2527366015490137
8,225.0,0,26,0.0,1.0,True,4.662831172504104,26,50.97536843786759,230.9753684378676,4.637496800487388,0.0,1.0,0.0,0.14605632821750786,0.21207996132834755,26,0.1790681447729277
9,255.0,0,28,0.0,1.0,True,4.617886833273156,28,51.000492830115434,231.00049283011543,4.218665696189524,0.0,0.9096859529361087,0.0,0.3766223966193732,0.0,28,0.1883111983096866
10,285.0,0,25,0.0,1.0,True,4.651579082326471,25,50.7157638750553,230.7157638750553,2.7154272909485533,0.0,0.5855372861202124,0.0,0.6400845155448287,0.299999859615099,25,0.47004218757996385
11,315.0,0,26,0.0,1.0,True,4.709598006638414,26,50.45750492558591,230.4575049255859,0.4479179125311368,0.0,0.09658613941988313,0.0,0.8597831386844338,0.6174405294121943,26,0.7386118340483141
12,345.0,0,23,0.0,1.0,True,4.796726872086147,23,50.3477259902989,230.3477259902989,0.0,2.000763530902262,0.0,0.39898701819341087,1.0,0.9638474031341966,23,0.9819237015670983
